Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","001","World","5312","Area harvested","0111","Wheat","2015","2015","ha","220860229","A","Official value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2015","2015","kg/ha","3340.4","A","Official value",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2015","2015","t","737763843.19","A","Official value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","0111","Wheat","2016","2016","ha","221601845","A","Official value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2016","2016","kg/ha","3452.5","A","Official value",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2016","2016","t","765075376.91","A","Official value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","0111","Wheat","2017","2017","ha","216304908","A","Official value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2017","2017","kg/ha","3523.2","A","Official value",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2017","2017","t","762082346.51","A","Official value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","0111","Wheat","2018","2018","ha","212621803","A","Official value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2018","2018","kg/ha","3436.6","A","Official value",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2018","2018","t","730694073.2","A","Official value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","0111","Wheat","2019","2019","ha","213812618","A","Official value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2019","2019","kg/ha","3557.5","A","Official value",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2019","2019","t","760643589.04","A","Official value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","0111","Wheat","2020","2020","ha","219849949","A","Official value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2020","2020","kg/ha","3528.8","A","Official value",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2020","2020","t","775796488.7","A","Official value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","0111","Wheat","2021","2021","ha","219346931","A","Official value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2021","2021","kg/ha","3570.3","A","Official value",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2021","2021","t","783124200.41","A","Official value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","0111","Wheat","2022","2022","ha","217546825","A","Official value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2022","2022","kg/ha","3714.1","A","Official value",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2022","2022","t","807987812.25","A","Official value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","0111","Wheat","2023","2023","ha","218736996","A","Official value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2023","2023","kg/ha","3632.5","A","Official value",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2023","2023","t","794567417.02","A","Official value",""
"QCL","Crops and livestock products","001","World","5312","Area harvested","0111","Wheat","2024","2024","ha","219518805","A","Official value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2024","2024","kg/ha","3637.4","A","Official value",""
"QCL","Crops and livestock products","001","World","5510","Production","0111","Wheat","2024","2024","t","798481711.07","A","Official value",""
