"Variety","Market.Class","Release.or.License","Release.Year","PI.PVP","pvp_date","Intellectual.Property"
"UI Warrior","SWS","Exclusive Ririe Grain","2024","202400308","2024-02-16","Title V"
"UI Cookie","SWS","Exclusive IWC","2021","20200098","2007-02-21",
"UI Stone","SWS","Exclusive LCS","2014","201300342","2014-09-26","Title V"
"Cataldo","SWS","Public release","2007","PI 642361",,
"UI Pettit","SWS","Public release","2006","PI 642363",,
"Alturas","SWS","Public release","2003","200200265","2003-04-29",
"Jubilee","SWS","Public release","2000","PI 665227 / 200100167",,
"Pomerelle","SWS","Public release","1996",,,
"Whitebird","SWS","Public release","1996",,,
"Centennial","SWS","Public release","1990","PI 537303 / 9000218","1993-05-28",
"Treasure","SWS","Public release","1988-1990",,,
"UI Gold","HWS","Non-Exclusive License","2022","202300355","2024-11-18","Title V"
"UI Platinum","HWS","Exclusive LCS","2014","201400419","2016-02-26","Title V"
"UI Alta Blanca","HWS","Public release","2006","PI 642378",,
"Lochsa","HWS","Public release","2005",,,
"Lolo","HWS","Public release","2003","PI 614840 / 9500250",,
"Idaho 377","HWS","Public release","1995","PI 591045",,
"UI Winchester","HRS","Public release","2009","PI 642362",,
"Jerome","HRS","Public release","2009","PI 632712 / 200400097","2004-07-23",
"Jefferson","HRS","Public release","1998","PI 603040",,
"Vandal","HRS","Public release","1991","PI 546056",,
"Iona","HRS","Public release","1991","PI 618724",,
"VI Germ","SWW","Exclusive LCS","2024","202500090",,"Title V"
"UI Vixen","SWW","Available UI License","2023","202400392","2025-08-29","Title V"
"VI Encore CL+","SWW","Exclusive LCS","2023","202400188",,"Title V"
"VI Shock","SWW","Exclusive LCS","2020","202100363","2022-05-27","Title V"
"VI Voodoo CL+","SWW","Exclusive LCS","2020","202100362","2022-05-27","BASF Clearfield Plus"
"VI Presto CL+","SWW","Exclusive LCS","2020","202100361","2022-05-27","BASF Clearfield Plus"
"VI Frost","SWW","Exclusive LCS","2019","202000239","2006-04-21","Title V"
"VI Bulldog","SWW","Exclusive LCS","2019","202000238","2006-04-21","Title V"
"UI Sparrow","SWW","Non-Exclusive License","2019","201700189","2007-09-19","Title V"
"UI Palouse CL+","SWW","Exclusive LCS","2015","201600306","2017-12-28","BASF Clearfield Plus"
"UI Magic CL+","SWW","Exclusive LCS","2015","201600300","2016-11-28","BASF Clearfield Plus"
"UI Castle CL+","SWW","Exclusive LCS","2015","201600014","2007-06-16","BASF Clearfield Plus"
"UI-WSU Huffman","SWW","Exclusive LCS","2014","201500295","2005-12-16","Title V"
"Bruneau","SWW","Public release","2010","PI 664304 / 201200014","2013-09-30",
"UICF-Brundage","SWW","Non-Exclusive License","2009","PI 660543 / 201100031","2011-03-25","BASF Clearfield"
"UICF-Lambert","SWW","License required","2008","PI 660544 / 201100008",,
"Bitterroot","SWW","Public release","2007","PI 664304 / 200800411","2008-07-09",
"Simon","SWW","Public release","2005","200500001","2005-03-24",
"Finch","SWW","Public Release","2005","PI 628640 / 200300327","2005-06-25","Title V"
"Hubbard","SWW","Public release","2000","PI 632273 / 200300007","2004-04-13",
"Brundage 96","SWW","Public release","2002","PI/ 631486 / 200200245","2007-01-03",
"Idaho 587 CL","SWW","License required","2003","PI 634567 / 200400096",,
"Simon","SWW","Public release","2003","PI 636132 / 200500001","2005-03-24",
"Brundage","SWW","Public release","2001","9800376","2005-08-01",
"Zak","SWW","Public release","2000","PI 607839 / 200100257",,
"Lambert","SWW","Licensed Tri-State","1994","PI583372",,
"UI SRG","HRW","Public release","2011","PI 660546",,
"Juniper","HRW","Public release","2006","PI 639951",,
"Moreland","HRW","Public release","2003","200200266","2003-06-24",
"DW","HRW","Public release","2003","PI 620629 / 200200151",,
"Hayden","HRW","Public release","1999","PI 608040",,
"Boundary","HRW","Public release","1997","PI 591045",,
"Bonneville","HRW","Public release","1994","9400231",,
"UI Bronze Jade","HWW","Public release","2017","no PVP","2009-01-20","no"
"UI Silver","HWW","Public release","2009","201400011","2015-08-14","no"
"UICF-Grace","HWW","Non-Exclusive License","2009","201000086","2010-08-13","BASF Clearfield"
